     #Energy           s           p           d       tot  
    15.93096     0.00000     0.00000     0.00000     0.00000
    16.06396     0.00000     0.00000     0.00000     0.00000
    16.19796     0.00000     0.00000     0.00000     0.00000
    16.33096     0.00000     0.00000     0.00000     0.00000
    16.46396     0.00000     0.00000     0.00000     0.00000
    16.59796     0.00000     0.00000     0.00000     0.00000
    16.73096     0.00000     0.00000     0.00000     0.00000
    16.86396     0.00000     0.00000     0.00000     0.00000
    16.99796     0.00000     0.00000     0.00000     0.00000
    17.13096     0.00000     0.00000     0.00000     0.00000
    17.26396     0.00000     0.00000     0.00000     0.00000
    17.39796     0.00000     0.00000     0.00000     0.00000
    17.53096     0.00000     0.00000     0.00000     0.00000
    17.66396     0.00000     0.00000     0.00000     0.00000
    17.79796     0.00000     0.00000     0.00000     0.00000
    17.93096     0.00000     0.00000     0.00000     0.00000
    18.06396     0.00000     0.00000     0.00000     0.00000
    18.19796     0.00000     0.00000     0.00000     0.00000
    18.33096     0.00000     0.00000     0.00000     0.00000
    18.46396     0.00000     0.00000     0.00000     0.00000
    18.59796     0.00000     0.00000     0.00000     0.00000
    18.73096     0.00000     0.00000     0.00000     0.00000
